"Zip Code","Building type (service class"," Consumption (therms) "," Consumption (GJ) ","Utility/Data Source"
"   11370 (40.75935377086, -73.8918440004)","Commercial","29,295","3,091","ConEd"
"   10451 (40.820696407114, -73.923841367985)","Commercial","2,168,883","228,829","ConEd"
"   10065 (40.764301213031, -73.963039935445)","Residential","156,086","16,468","ConEd"
"   11367 (40.730323085042, -73.82610630716)","Commercial","6,820,750","719,627","ConEd"
"   11693 (40.618303604728, -73.824955315236)","Small residential","948,328","100,054","National Grid"
"   11379 (40.71679766548, -73.879334213103)","Small residential","6,789,947","716,377","National Grid"
"   11423 (40.717222295672, -73.76714149998)","Residential","261,189","27,557","ConEd"
"   10021 (40.769205327664, -73.959183941086)","Residential","2,002,900","211,317","ConEd"
"   10025 (40.796850127631, -73.963725810598)","Commercial","8,752,223","923,409","ConEd"
"   11373 (40.738710402563, -73.878351155182)","Residential","5,089","537","ConEd"
"   11210 (40.627722263871, -73.946537919989)","Institutional","1,837,588","193,876","National Grid"
"   10302 (40.630833311108, -74.137734298699)","Institutional","644,313","67,979","National Grid"
"   11221 (40.691288039511, -73.927617927925)","Industrial","50,866","5,367","National Grid"
"   10459 (40.825526216162, -73.893131067844)","Residential","2,246,422","237,010","ConEd"
"   11231 (40.677554311782, -74.004676704366)","Small residential","5,330,545","562,402","National Grid"
"   10471 (40.901994423104, -73.903626500562)","Residential","2,226,655","234,925","ConEd"
"   11361 (40.764188848137, -73.7723255286)","Residential","290,730","30,674","ConEd"
"   11232 (40.654511617018, -74.000033929122)","Commercial","3,285,406","346,629","National Grid"
"   10306 (40.566020489654, -74.119945669057)","Institutional","434,767","45,870","National Grid"
"   10034 (40.870617109292, -73.924223258796)","Commercial","1,521,876","160,566","ConEd"
"   11004 (40.743237834359, -73.712015000192)","Commercial","2,555,500","269,620","ConEd"
"   11355 (40.751299796948, -73.821478547897)","Residential","5,458,878","575,942","ConEd"
"   11001 (40.721390004945, -73.707396928425)","Commercial","375,299","39,596","ConEd"
"   10310 (40.632789000212, -74.11645860538)","Industrial","20,001","2,110","National Grid"
"   10475 (40.874142343794, -73.827068565562)","Commercial","11,525,984","1,216,056","ConEd"
"   11361 (40.764188848137, -73.7723255286)","Commercial","1,616,689","170,570","ConEd"
"   11205 (40.693882095283, -73.964334507731)","Industrial","949,014","100,126","National Grid"
"   11426 (40.737041384952, -73.724156998946)","Commercial","529,932","55,911","ConEd"
"   10027 (40.811549564461, -73.952900335682)","Large Residential","10,352,199","1,092,215","ConEd"
"   10308 (40.552935295428, -74.151302759814)","Commercial","565,006","59,611","National Grid"
"   11105 (40.780092072491, -73.90960650024)","Commercial","2,763,314","291,545","ConEd"
"   11364 (40.74592468038, -73.757902755608)","Residential","269,069","28,388","ConEd"
"   11363 (40.772398418252, -73.746797887413)","Large Residential","40,443","4,267","ConEd"
"   10023 (40.774536138232, -73.979943356101)","Large Residential","394,079","41,578","ConEd"
"   11429 (40.709913120494, -73.738640316098)","Industrial","150,862","15,917","National Grid"
"   10007 (40.713630519433, -74.009131383706)","Large Residential","12,021","1,268","ConEd"
"   10464 (40.875709096797, -73.812297250418)","Commercial","602,169","63,532","ConEd"
"   11209 (40.623387097237, -74.030652953471)","Institutional","2,102,591","221,835","National Grid"
"   11416 (40.684578097002, -73.849601668482)","Commercial","736,110","77,664","National Grid"
"   11423 (40.717222295672, -73.76714149998)","Small residential","5,458,466","575,899","National Grid"
"   11216 (40.680758670876, -73.949267750906)","Institutional","1,015,256","107,115","National Grid"
"   10469 (40.868181802748, -73.846568687795)","Commercial","1","0","ConEd"
"   10456 (40.830436680009, -73.907765199504)","Residential","600,008","63,304","ConEd"
"   11229 (40.601233507321, -73.944368541175)","Large residential","13,147,358","1,387,120","National Grid"
"   11697 (40.559624370968, -73.910062999708)","Commercial","95,842","10,112","National Grid"
"   11360 (40.780701334399, -73.782267336868)","Commercial","2,307,963","243,503","ConEd"
"   10032 (40.836930349056, -73.949178521971)","Residential","910,692","96,083","ConEd"
"   11428 (40.721396964798, -73.741937297268)","Industrial","1,772","187","National Grid"
"   11206 (40.701912016826, -73.942379198541)","Commercial","3,420,403","360,872","National Grid"
"   10011 (40.744715266696, -74.00460000029)","Large Residential","400,282","42,232","ConEd"
"   11231 (40.677554311782, -74.004676704366)","Institutional","346,781","36,587","National Grid"
"   10474 (40.810882923108, -73.882356362356)","Large Residential","3,339,390","352,324","ConEd"
"   11201 (40.694678258795, -73.989920868353)","Small residential","3,575,205","377,204","National Grid"
"   10023 (40.774536138232, -73.979943356101)","Commercial","1,543,305","162,827","ConEd"
"   11367 (40.730323085042, -73.82610630716)","Large Residential","1,724,999","181,997","ConEd"
"   10038 (40.709359291898, -74.003071862376)","Residential","24,457","2,580","ConEd"
"   10307 (40.508004527487, -74.242114281948)","Commercial","359,769","37,958","National Grid"
"   11422 (40.661613493968, -73.736051726406)","Small residential","7,114,276","750,596","National Grid"
"   10003 (40.731943947555, -73.98887214913)","Commercial","5,073,198","535,251","ConEd"
"   10033 (40.856219929206, -73.945859000193)","Commercial","1,599,674","168,775","ConEd"
"   11426 (40.737041384952, -73.724156998946)","Residential","2,508,430","264,653","ConEd"
"   10065 (40.764301213031, -73.963039935445)","Commercial","13,811,460","1,457,186","ConEd"
"   10128 (40.781770000585, -73.95062814907)","Commercial","8,661,160","913,801","ConEd"
"   10037 (40.813297761083, -73.937282525568)","Residential","611,811","64,549","ConEd"
"   10301 (40.626785508445, -74.096112910882)","Small residential","7,412,235","782,032","National Grid"
"   10031 (40.824954205073, -73.950124436094)","Commercial","3,819,653","402,995","ConEd"
"   10310 (40.632789000212, -74.11645860538)","Small residential","5,137,096","541,992","National Grid"
"   10011 (40.744715266696, -74.00460000029)","Commercial","9,456,458","997,709","ConEd"
"   10461 (40.846960590359, -73.840632836736)","Commercial","3,657,783","385,917","ConEd"
"   10027 (40.811549564461, -73.952900335682)","Residential","2,542,279","268,225","ConEd"
"   10453 (40.852786838342, -73.913426784319)","Large Residential","1,136,648","119,923","ConEd"
"   11252 (40.607934094183, -74.02694266727)","Commercial","38,852","4,099","National Grid"
"   10030 (40.818435176043, -73.942765303576)","Residential","159,864","16,867","ConEd"
"   11213 (40.671225169206, -73.936443366368)","Institutional","889,348","93,831","National Grid"
"   11368 (40.749678220374, -73.853040688577)","Commercial","978","103","ConEd"
"   10463 (40.881871962821, -73.911207480541)","Commercial","3,561","376","ConEd"
"   10470 (40.900127971928, -73.87122775026)","Residential","236,066","24,906","ConEd"
"   10024 (40.783625568166, -73.966539000574)","Residential","3,988,908","420,852","ConEd"
"   10021 (40.769205327664, -73.959183941086)","Commercial","6,581","694","ConEd"
"   11203 (40.649721601171, -73.934276085673)","Institutional","7,869,164","830,241","National Grid"
"   11414 (40.658170228174, -73.844962639814)","Commercial","1,151,068","121,444","National Grid"
"   10452 (40.837724263364, -73.923332211412)","Commercial","1,823,135","192,351","ConEd"
"   11428 (40.721396964798, -73.741937297268)","Small residential","3,960,945","417,902","National Grid"
"   11230 (40.621929510239, -73.965511060187)","Small residential","11,665,262","1,230,750","National Grid"
"   10026 (40.803058121635, -73.953342776048)","Commercial","1,153,347","121,685","ConEd"
"   11360 (40.780701334399, -73.782267336868)","Residential","2,617,396","276,150","ConEd"
"   10013 (40.721242188776, -74.008889000227)","Residential","228,453","24,103","ConEd"
"   11435 (40.701192649122, -73.809796655791)","Small residential","6,630,439","699,548","National Grid"
"   10030 (40.818435176043, -73.942765303576)","Residential","2,016,283","212,729","ConEd"
"   10016 (40.745242969987, -73.978232985864)","Commercial","7,176,247","757,134","ConEd"
"   11004 (40.743237834359, -73.712015000192)","Commercial","280,325","29,576","ConEd"
"   10464 (40.875709096797, -73.812297250418)","Residential","1,094,782","115,506","ConEd"
"   10461 (40.846960590359, -73.840632836736)","Residential","587,242","61,957","ConEd"
"   11355 (40.751299796948, -73.821478547897)","Residential","503,099","53,080","ConEd"
"   10308 (40.552935295428, -74.151302759814)","Small residential","6,910,394","729,085","National Grid"
"   10040 (40.858095531883, -73.929255489949)","Commercial","717,611","75,712","ConEd"
"   11693 (40.618303604728, -73.824955315236)","Large residential","2,505,401","264,334","National Grid"
"   11234 (40.61636866748, -73.927732249743)","Institutional","1,812,535","191,233","National Grid"
"   10075 (40.772939491764, -73.956090162631)","Commercial","3,374,658","356,045","ConEd"
"   11358 (40.760350968822, -73.796326458199)","Residential","5,983,515","631,294","ConEd"
"   11430 (40.647229326173, -73.786374952542)","Industrial","563,052","59,405","National Grid"
"   10034 (40.870617109292, -73.924223258796)","Large Residential","281,557","29,706","ConEd"
"   10457 (40.845798371298, -73.898324186812)","Commercial","3,139,507","331,236","ConEd"
"   10009 (40.726649358981, -73.979111485007)","Residential","2,516,364","265,491","ConEd"
"   11415 (40.708286075142, -73.828556121568)","Commercial","586,484","61,877","National Grid"
"   11235 (40.578414108824, -73.940260000099)","Small residential","9,977,961","1,052,731","National Grid"
"   11211 (40.711589765256, -73.958176750756)","Small residential","9,211,590","971,874","National Grid"
"   11423 (40.717222295672, -73.76714149998)","Commercial","660,047","69,639","National Grid"
"   10306 (40.566020489654, -74.119945669057)","Industrial","3,660","386","National Grid"
"   11379 (40.71679766548, -73.879334213103)","Large residential","659,949","69,628","National Grid"
"   10301 (40.626785508445, -74.096112910882)","Institutional","1,244,001","131,249","National Grid"
"   11217 (40.682312101322, -73.979567188575)","Industrial","115,795","12,217","National Grid"
"   10306 (40.566020489654, -74.119945669057)","Small residential","13,376,088","1,411,252","National Grid"
"   11429 (40.709913120494, -73.738640316098)","Residential","796","84","ConEd"
"   10036 (40.759346827194, -73.989860554421)","Commercial","10,571,859","1,115,390","ConEd"
"   11427 (40.729310574324, -73.750676021281)","Commercial","1,165,892","123,008","ConEd"
"   11421 (40.691764587566, -73.85702228585)","Industrial","22,617","2,386","National Grid"
"   10456 (40.830436680009, -73.907765199504)","Residential","1,999,484","210,957","ConEd"
"   10280 (40.709594512277, -74.020224535534)","Commercial","1,396,819","147,372","ConEd"
"   10305 (40.596184688173, -74.075072384883)","Small residential","8,586,364","905,909","National Grid"
"   11364 (40.74592468038, -73.757902755608)","Commercial","768,785","81,111","ConEd"
"   11363 (40.772398418252, -73.746797887413)","Residential","54,273","5,726","ConEd"
"   11373 (40.738710402563, -73.878351155182)","Commercial",,,"ConEd"
"   10075 (40.772939491764, -73.956090162631)","Residential","110,074","11,613","ConEd"
"   10463 (40.881871962821, -73.911207480541)","Large Residential","219,710","23,181","ConEd"
"   10007 (40.713630519433, -74.009131383706)","Commercial","1,220,273","128,746","ConEd"
"   10305 (40.596184688173, -74.075072384883)","Large residential","1,136,630","119,921","National Grid"
"   10020 (40.759498513146, -73.980074397216)","Large Residential","271,824","28,679","ConEd"
"   11377 (40.745193764481, -73.90484714408)","Commercial","3,893,626","410,799","National Grid"
"   11374 (40.726464917022, -73.861480847563)","Small residential","3,149,947","332,337","National Grid"
"   10039 (40.826681928628, -73.937770907801)","Residential","81,485","8,597","ConEd"
"   11428 (40.721396964798, -73.741937297268)","Large residential","172,865","18,238","National Grid"
