"Zip Code","Building type (service class"," Consumption (therms) "," Consumption (GJ) ","Utility/Data Source"
"   11235 (40.578414108824, -73.940260000099)","Large residential","15,358,828","1,620,442","National Grid"
"   10012 (40.725538020863, -73.997896410591)","Commercial","3,676,344","387,875","ConEd"
"   10475 (40.874142343794, -73.827068565562)","Residential","9,204","971","ConEd"
"   11218 (40.64322700852, -73.976448622106)","Industrial","441,018","46,530","National Grid"
"   10466 (40.890809730185, -73.846009063068)","Commercial","2,343,491","247,251","ConEd"
"   11360 (40.780701334399, -73.782267336868)","Residential","45,219","4,771","ConEd"
"   11224 (40.576304656335, -73.999532000401)","Large residential","36,143,134","3,813,303","National Grid"
"   11418 (40.696370412365, -73.840310249918)","Large residential","1,398,053","147,502","National Grid"
"   10281 (40.714330000429, -74.015196999742)","Commercial","37,094","3,914","ConEd"
"   10305 (40.596184688173, -74.075072384883)","Institutional","8,441,661","890,643","National Grid"
"   11101 (40.745702449808, -73.938669029252)","Commercial","7,992,026","843,203","ConEd"
"   11372 (40.751630739367, -73.883612545283)","Industrial","48,106","5,075","National Grid"
"   10473 (40.817731470931, -73.860537000082)","Residential","233,862","24,674","ConEd"
"   11432 (40.71311535449, -73.792820999789)","Institutional","1,307,797","137,980","National Grid"
"   10020 (40.759498513146, -73.980074397216)","Commercial","194,595","20,531","ConEd"
"   11214 (40.604011809897, -74.000969000119)","Industrial","285,392","30,110","National Grid"
"   11371 (40.775567374635, -73.870865499743)","Institutional","1,065,320","112,397","National Grid"
"   10004 (40.688827825344, -74.019112505837)","Commercial","1,726,800","182,187","ConEd"
"   11378 (40.721453104977, -73.908543500682)","Industrial","2,809,327","296,400","National Grid"
"   11433 (40.698104881735, -73.787574033914)","Large residential","5,080,122","535,981","National Grid"
"   10454 (40.805846930092, -73.916285046518)","Commercial","2,249,303","237,314","ConEd"
"   11434 (40.676945262114, -73.775306901692)","Commercial","2,955,224","311,793","National Grid"
"   11435 (40.701192649122, -73.809796655791)","Commercial","79,476","8,385","ConEd"
"   11427 (40.729310574324, -73.750676021281)","Large residential","2,347,279","247,651","National Grid"
"   11358 (40.760350968822, -73.796326458199)","Commercial","1,898,565","200,309","ConEd"
"   11256 (40.662351000099, -73.860115000407)","Institutional","277,857","29,315","National Grid"
"   10472 (40.829730432513, -73.870132131393)","Commercial","1,887,751","199,168","ConEd"
"   10027 (40.811549564461, -73.952900335682)","Commercial","25,473","2,688","ConEd"
"   11422 (40.661613493968, -73.736051726406)","Large residential","149,873","15,812","National Grid"
"   11412 (40.698127117473, -73.759235198346)","Large residential","151,333","15,966","National Grid"
"   11427 (40.729310574324, -73.750676021281)","Large Residential","1,587,862","167,528","ConEd"
"   10036 (40.759346827194, -73.989860554421)","Large Residential","395,037","41,679","ConEd"
"   10001 (40.750259021437, -73.99688630376)","Residential","1,476,126","155,740","ConEd"
"   10030 (40.818435176043, -73.942765303576)","Commercial","4,456,113","470,145","ConEd"
"   11104 (40.744893366636, -73.920541345307)","Residential","329,490","34,763","ConEd"
"   11237 (40.704095739827, -73.920994233997)","Industrial","2,133,783","225,126","National Grid"
"   11356 (40.784928096754, -73.841810700403)","Residential","268,003","28,276","ConEd"
"   10044 (40.761976486226, -73.949999674945)","Commercial","1,496,982","157,940","ConEd"
"   11374 (40.726464917022, -73.861480847563)","Commercial","1,938,527","204,525","National Grid"
"   11201 (40.694678258795, -73.989920868353)","Commercial","13,571,483","1,431,867","National Grid"
"   10065 (40.764301213031, -73.963039935445)","Commercial","2,130,613","224,792","ConEd"
"   11221 (40.691288039511, -73.927617927925)","Commercial","1,761,754","185,875","National Grid"
"   11212 (40.662797169953, -73.912984894337)","Small residential","7,377,894","778,409","National Grid"
"   10314 (40.596490302985, -74.165991118795)","Large residential","2,046,659","215,934","National Grid"
"   10307 (40.508004527487, -74.242114281948)","Institutional","163,208","17,219","National Grid"
"   11235 (40.578414108824, -73.940260000099)","Institutional","2,091,533","220,668","National Grid"
"   11201 (40.694678258795, -73.989920868353)","Industrial","3,887,016","410,102","National Grid"
"   11430 (40.647229326173, -73.786374952542)","Commercial","7,251,275","765,050","National Grid"
"   11222 (40.728253121784, -73.947159783197)","Industrial","1,309,400","138,149","National Grid"
"   11418 (40.696370412365, -73.840310249918)","Commercial","1,462,567","154,309","National Grid"
"   11423 (40.717222295672, -73.76714149998)","Industrial","194,292","20,499","National Grid"
"   10036 (40.759346827194, -73.989860554421)","Residential","73,600","7,765","ConEd"
"   11001 (40.721390004945, -73.707396928425)","Residential","703,063","74,177","ConEd"
"   10016 (40.745242969987, -73.978232985864)","Large Residential","87,331","9,214","ConEd"
"   11432 (40.71311535449, -73.792820999789)","Residential","1,830,443","193,122","ConEd"
"   10001 (40.750259021437, -73.99688630376)","Residential","58,338","6,155","ConEd"
"   11423 (40.717222295672, -73.76714149998)","Commercial","23","2","ConEd"
"   10034 (40.870617109292, -73.924223258796)","Residential","473,019","49,906","ConEd"
"   11218 (40.64322700852, -73.976448622106)","Large residential","8,839,578","932,625","National Grid"
"   11416 (40.684578097002, -73.849601668482)","Large residential","138,988","14,664","National Grid"
"   10452 (40.837724263364, -73.923332211412)","Residential","986,430","104,074","ConEd"
"   10033 (40.856219929206, -73.945859000193)","Residential","628,133","66,272","ConEd"
"   11356 (40.784928096754, -73.841810700403)","Commercial","2,415,327","254,831","ConEd"
"   10475 (40.874142343794, -73.827068565562)","Commercial","755,111","79,668","ConEd"
"   11223 (40.596939623165, -73.973311472047)","Institutional","1,093,448","115,365","National Grid"
"   10035 (40.793817035428, -73.919317500202)","Commercial","2,154,540","227,316","ConEd"
"   11421 (40.691764587566, -73.85702228585)","Institutional","154,578","16,309","National Grid"
"   11238 (40.67886241347, -73.963820469639)","Commercial","2,045,915","215,855","National Grid"
"   10303 (40.633032309993, -74.16834884982)","Commercial","1,062,619","112,112","National Grid"
"   11413 (40.669711181226, -73.750873933285)","Commercial","639,059","67,424","National Grid"
"   11204 (40.619055848049, -73.984798598876)","Small residential","14,470,621","1,526,732","National Grid"
"   11363 (40.772398418252, -73.746797887413)","Residential","1,706,804","180,077","ConEd"
"   11238 (40.67886241347, -73.963820469639)","Institutional","1,006,041","106,143","National Grid"
"   11357 (40.786284041475, -73.811232061011)","Residential","324,086","34,193","ConEd"
"   11419 (40.688713790409, -73.822888330532)","Large residential","221,654","23,386","National Grid"
"   10022 (40.758630224006, -73.96809182218)","Commercial","2,849,019","300,587","ConEd"
"   10027 (40.811549564461, -73.952900335682)","Commercial","2,931,338","309,273","ConEd"
"   11375 (40.72070726303, -73.846284296083)","Industrial","483,373","50,999","National Grid"
"   11239 (40.64949607998, -73.865524999879)","Small residential","187,050","19,735","National Grid"
"   10003 (40.731943947555, -73.98887214913)","Residential","260,502","27,484","ConEd"
"   10012 (40.725538020863, -73.997896410591)","Commercial","2,987,748","315,224","ConEd"
"   11375 (40.72070726303, -73.846284296083)","Large residential","15,937,171","1,681,461","National Grid"
"   11217 (40.682312101322, -73.979567188575)","Large residential","7,818,509","824,896","National Grid"
"   10461 (40.846960590359, -73.840632836736)","Commercial","3,065,943","323,474","ConEd"
"   11379 (40.71679766548, -73.879334213103)","Industrial","168,135","17,739","National Grid"
"   10310 (40.632789000212, -74.11645860538)","Institutional","256,154","27,026","National Grid"
"   10304 (40.591229442585, -74.111328000087)","Commercial","1,445,743","152,534","National Grid"
"   10471 (40.901994423104, -73.903626500562)","Residential","128,800","13,589","ConEd"
"   11236 (40.640021493797, -73.901121939926)","Small residential","19,201,617","2,025,878","National Grid"
"   10312 (40.542955977337, -74.180376817236)","Commercial","1,174,629","123,930","National Grid"
"   10282 (40.719614557066, -74.014649282938)","Commercial","1,704,836","179,870","ConEd"
"   11419 (40.688713790409, -73.822888330532)","Industrial","95,925","10,121","National Grid"
"   11109 (40.744414792409, -73.957702346686)","Commercial","45,899","4,843","ConEd"
"   11362 (40.759074216602, -73.734300177111)","Residential","2,911,498","307,179","ConEd"
"   11222 (40.728253121784, -73.947159783197)","Large residential","3,928,747","414,505","National Grid"
"   11427 (40.729310574324, -73.750676021281)","Commercial","661,448","69,786","ConEd"
"   11215 (40.665557251366, -73.979681535574)","Commercial","5,232,962","552,107","National Grid"
"   11212 (40.662797169953, -73.912984894337)","Commercial","1,796,469","189,538","National Grid"
"   10007 (40.713630519433, -74.009131383706)","Residential","605,082","63,840","ConEd"
"   10029 (40.791610720558, -73.944032281065)","Residential","1,856,481","195,869","ConEd"
"   10045 (40.70786499997, -74.008144000046)","Commercial","16,246","1,714","ConEd"
"   10037 (40.813297761083, -73.937282525568)","Residential","33,817","3,568","ConEd"
"   11370 (40.75935377086, -73.8918440004)","Residential","1,414","149","ConEd"
"   11433 (40.698104881735, -73.787574033914)","Small residential","5,792,993","611,193","National Grid"
"   10455 (40.813535754971, -73.905355252043)","Residential","226,661","23,914","ConEd"
"   10469 (40.868181802748, -73.846568687795)","Commercial","8,063,164","850,709","ConEd"
"   10019 (40.76761164716, -73.991805500224)","Commercial","12,204,102","1,287,601","ConEd"
"   11219 (40.632772955408, -73.996676811186)","Commercial","2,866,327","302,414","National Grid"
"   11040 (40.745299961824, -73.679631932268)","Residential","17,466","1,843","ConEd"
"   11419 (40.688713790409, -73.822888330532)","Commercial","1,174,701","123,938","National Grid"
"   10033 (40.856219929206, -73.945859000193)","Commercial","1,766,048","186,328","ConEd"
"   11412 (40.698127117473, -73.759235198346)","Commercial","522,819","55,160","National Grid"
"   10007 (40.713630519433, -74.009131383706)","Residential","12,845","1,355","ConEd"
"   10006 (40.708256140309, -74.013553569641)","Commercial","1,361,410","143,636","ConEd"
"   11103 (40.762868930257, -73.91327185811)","Commercial","2,788,104","294,161","ConEd"
"   10472 (40.829730432513, -73.870132131393)","Residential","2,650,312","279,623","ConEd"
"   11358 (40.760350968822, -73.796326458199)","Commercial","2,357,195","248,697","ConEd"
"   11361 (40.764188848137, -73.7723255286)","Commercial","2,049,571","216,241","ConEd"
"   10024 (40.783625568166, -73.966539000574)","Commercial","926","98","ConEd"
"   11417 (40.676363730802, -73.844542755344)","Institutional","196,503","20,732","National Grid"
"   10017 (40.752456527447, -73.97297648088)","Residential","168,035","17,729","ConEd"
"   11225 (40.663170058551, -73.953701109119)","Institutional","1,222,964","129,030","National Grid"
"   11109 (40.744414792409, -73.957702346686)","Residential","175,063","18,470","ConEd"
"   11372 (40.751630739367, -73.883612545283)","Commercial","3,234,761","341,285","National Grid"
"   10455 (40.813535754971, -73.905355252043)","Residential","1,650,436","174,130","ConEd"
"   11432 (40.71311535449, -73.792820999789)","Residential","77,137","8,138","ConEd"
"   11432 (40.71311535449, -73.792820999789)","Large Residential","2,212,791","233,462","ConEd"
"   11101 (40.745702449808, -73.938669029252)","Commercial","9,475,891","999,760","ConEd"
"   11429 (40.709913120494, -73.738640316098)","Commercial","755","80","ConEd"
"   11433 (40.698104881735, -73.787574033914)","Commercial","1,531,565","161,589","National Grid"
"   11417 (40.676363730802, -73.844542755344)","Industrial","47,683","5,031","National Grid"
"   11205 (40.693882095283, -73.964334507731)","Commercial","4,023,498","424,502","National Grid"
"   11205 (40.693882095283, -73.964334507731)","Large residential","11,356,025","1,198,124","National Grid"
"   10014 (40.733586451354, -74.010199604728)","Commercial","6,034,243","636,646","ConEd"
"   11356 (40.784928096754, -73.841810700403)","Residential","2,618,017","276,215","ConEd"
"   11691 (40.600614338481, -73.762567774683)","Commercial","7,506,142","791,940","National Grid"
"   10016 (40.745242969987, -73.978232985864)","Commercial","3,446,607","363,636","ConEd"
"   10467 (40.877047912132, -73.871532500824)","Commercial","10,790,922","1,138,503","ConEd"
"   10027 (40.811549564461, -73.952900335682)","Commercial","11,932,340","1,258,929","ConEd"
"   11239 (40.64949607998, -73.865524999879)","Institutional","274,144","28,924","National Grid"
"   10039 (40.826681928628, -73.937770907801)","Commercial","430,554","45,426","ConEd"
"   11040 (40.745299961824, -73.679631932268)","Residential","378,066","39,888","ConEd"
"   10464 (40.875709096797, -73.812297250418)","Residential","46,873","4,945","ConEd"
"   10128 (40.781770000585, -73.95062814907)","Commercial","32,026","3,379","ConEd"
"   10459 (40.825526216162, -73.893131067844)","Residential","317,074","33,453","ConEd"
"   10040 (40.858095531883, -73.929255489949)","Commercial","1,511,169","159,437","ConEd"
"   10013 (40.721242188776, -74.008889000227)","Commercial","6,067,132","640,116","ConEd"
"   11374 (40.726464917022, -73.861480847563)","Institutional","328,460","34,654","National Grid"
"   11206 (40.701912016826, -73.942379198541)","Institutional","2,486,776","262,369","National Grid"
"   10312 (40.542955977337, -74.180376817236)","Industrial","13,482","1,422","National Grid"
"   11367 (40.730323085042, -73.82610630716)","Commercial","970,445","102,387","ConEd"
"   11413 (40.669711181226, -73.750873933285)","Institutional","394,872","41,661","National Grid"
"   11222 (40.728253121784, -73.947159783197)","Small residential","4,373,864","461,467","National Grid"
"   11233 (40.678130438169, -73.919776475504)","Large residential","10,673,659","1,126,131","National Grid"
"   11214 (40.604011809897, -74.000969000119)","Large residential","7,906,290","834,158","National Grid"
"   11104 (40.744893366636, -73.920541345307)","Residential","1,153,072","121,656","ConEd"
"   11435 (40.701192649122, -73.809796655791)","Large residential","4,902,151","517,204","National Grid"
"   11040 (40.745299961824, -73.679631932268)","Large Residential","3,364,311","354,954","ConEd"
"   11428 (40.721396964798, -73.741937297268)","Residential","69,640","7,347","ConEd"
"   11230 (40.621929510239, -73.965511060187)","Institutional","3,604,096","380,252","National Grid"
"   11375 (40.72070726303, -73.846284296083)","Institutional","283,731","29,935","National Grid"
"   10026 (40.803058121635, -73.953342776048)","Commercial","5,647,551","595,848","ConEd"
"   11422 (40.661613493968, -73.736051726406)","Institutional","240,378","25,361","National Grid"
"   11238 (40.67886241347, -73.963820469639)","Large residential","9,649,474","1,018,074","National Grid"
"   10001 (40.750259021437, -73.99688630376)","Large Residential","3,616,905","381,604","ConEd"
"   11385 (40.701224891615, -73.88334858437)","Commercial","3,526,058","372,019","National Grid"
"   11368 (40.749678220374, -73.853040688577)","Institutional","1,001,098","105,621","National Grid"
"   11365 (40.739871843711, -73.794621535156)","Residential","222,234","23,447","ConEd"
"   11370 (40.75935377086, -73.8918440004)","Commercial","1,119,225","118,085","National Grid"
"   11354 (40.768620220647, -73.827190280707)","Commercial","7,628,542","804,854","ConEd"
"   11233 (40.678130438169, -73.919776475504)","Commercial","1,223,131","129,047","National Grid"
"   11378 (40.721453104977, -73.908543500682)","Commercial","3,345,377","352,956","National Grid"
"   11106 (40.761699790013, -73.931663252957)","Large Residential","66,963","7,065","ConEd"
"   10473 (40.817731470931, -73.860537000082)","Residential","3,609,517","380,824","ConEd"
"   10034 (40.870617109292, -73.924223258796)","Commercial","1,961,050","206,902","ConEd"
"   10462 (40.842258336653, -73.857996632938)","Commercial","3,712,204","391,658","ConEd"
"   11413 (40.669711181226, -73.750873933285)","Industrial","387,601","40,894","National Grid"
"   11421 (40.691764587566, -73.85702228585)","Large residential","1,299,205","137,073","National Grid"
"   10456 (40.830436680009, -73.907765199504)","Commercial","14,583,516","1,538,643","ConEd"
"   10451 (40.820696407114, -73.923841367985)","Large Residential","3,433,811","362,286","ConEd"
"   10458 (40.862601328688, -73.884790015047)","Residential","1,068,746","112,759","ConEd"
"   11417 (40.676363730802, -73.844542755344)","Small residential","6,605,848","696,954","National Grid"
"   10028 (40.776344978838, -73.952966679569)","Commercial","2,078","219","ConEd"
"   10472 (40.829730432513, -73.870132131393)","Residential","827,862","87,344","ConEd"
"   11416 (40.684578097002, -73.849601668482)","Industrial","141,055","14,882","National Grid"
"   11239 (40.64949607998, -73.865524999879)","Commercial","487,427","51,426","National Grid"
"   10035 (40.793817035428, -73.919317500202)","Residential","126,399","13,336","ConEd"
"   10025 (40.796850127631, -73.963725810598)","Large Residential","3,058,952","322,737","ConEd"
"   10452 (40.837724263364, -73.923332211412)","Commercial","8,504,273","897,248","ConEd"
"   10002 (40.716121467931, -73.985831470246)","Residential","550,055","58,034","ConEd"
"   11377 (40.745193764481, -73.90484714408)","Commercial","358,163","37,788","ConEd"
"   11435 (40.701192649122, -73.809796655791)","Residential","6,659","703","ConEd"
"   10301 (40.626785508445, -74.096112910882)","Commercial","2,358,335","248,818","National Grid"
"   11102 (40.771524024514, -73.926435450735)","Commercial","3,509,357","370,257","ConEd"
"   11203 (40.649721601171, -73.934276085673)","Industrial","268,262","28,303","National Grid"
"   10005 (40.706125792072, -74.008584685835)","Residential","27,868","2,940","ConEd"
"   10023 (40.774536138232, -73.979943356101)","Residential","243,744","25,716","ConEd"
"   11354 (40.768620220647, -73.827190280707)","Residential","299,334","31,581","ConEd"
"   10472 (40.829730432513, -73.870132131393)","Commercial","5,479,605","578,129","ConEd"
"   11230 (40.621929510239, -73.965511060187)","Industrial","101,877","10,749","National Grid"
"   10464 (40.875709096797, -73.812297250418)","Commercial","75","8","ConEd"
"   11236 (40.640021493797, -73.901121939926)","Industrial","805,099","84,942","National Grid"
"   11232 (40.654511617018, -74.000033929122)","Institutional","1,847,474","194,919","National Grid"
"   11219 (40.632772955408, -73.996676811186)","Industrial","3,101,780","327,255","National Grid"
"   11217 (40.682312101322, -73.979567188575)","Commercial","2,720,173","286,993","National Grid"
"   10474 (40.810882923108, -73.882356362356)","Commercial","2,094,768","221,010","ConEd"
"   11435 (40.701192649122, -73.809796655791)","Commercial","2,935,798","309,743","National Grid"
"   11433 (40.698104881735, -73.787574033914)","Institutional","1,519,465","160,312","National Grid"
"   11226 (40.646505002304, -73.957190099144)","Institutional","994,926","104,970","National Grid"
"   11370 (40.75935377086, -73.8918440004)","Industrial","37,449","3,951","National Grid"
"   10004 (40.688827825344, -74.019112505837)","Commercial","1,326,154","139,917","ConEd"
"   11364 (40.74592468038, -73.757902755608)","Residential","4,453,633","469,883","ConEd"
"   11224 (40.576304656335, -73.999532000401)","Small residential","2,671,212","281,828","National Grid"
"   10458 (40.862601328688, -73.884790015047)","Commercial","4,109,461","433,571","ConEd"
"   10306 (40.566020489654, -74.119945669057)","Commercial","1,794,789","189,360","National Grid"
"   10025 (40.796850127631, -73.963725810598)","Residential","507,504","53,545","ConEd"
"   11237 (40.704095739827, -73.920994233997)","Large residential","4,718,001","497,776","National Grid"
"   11237 (40.704095739827, -73.920994233997)","Commercial","2,600,827","274,402","National Grid"
"   11418 (40.696370412365, -73.840310249918)","Institutional","726,983","76,701","National Grid"
"   11428 (40.721396964798, -73.741937297268)","Commercial","596,996","62,986","National Grid"
"   11203 (40.649721601171, -73.934276085673)","Small residential","13,346,866","1,408,169","National Grid"
"   10314 (40.596490302985, -74.165991118795)","Small residential","19,041,165","2,008,950","National Grid"
"   11228 (40.616540714083, -74.013277847395)","Institutional","278,441","29,377","National Grid"
"   11220 (40.641184928741, -74.016764726711)","Industrial","2,234,971","235,802","National Grid"
"   11235 (40.578414108824, -73.940260000099)","Commercial","3,818,158","402,837","National Grid"
"   10038 (40.709359291898, -74.003071862376)","Commercial","4,135,128","436,279","ConEd"
"   10466 (40.890809730185, -73.846009063068)","Large Residential","1,382,332","145,844","ConEd"
"   11357 (40.786284041475, -73.811232061011)","Commercial","2,399,589","253,170","ConEd"
"   10033 (40.856219929206, -73.945859000193)","Residential","658,126","69,436","ConEd"
"   11370 (40.75935377086, -73.8918440004)","Commercial","84,349","8,899","ConEd"
"   10459 (40.825526216162, -73.893131067844)","Commercial","1,859,762","196,215","ConEd"
"   10080 (40.71445199976, -74.015474999971)","Commercial","359","38","ConEd"
"   10461 (40.846960590359, -73.840632836736)","Large Residential","9,651,221","1,018,258","ConEd"
"   11207 (40.670802431187, -73.893841150049)","Commercial","3,104,972","327,592","National Grid"
"   11427 (40.729310574324, -73.750676021281)","Institutional","219,049","23,111","National Grid"
"   11432 (40.71311535449, -73.792820999789)","Small residential","5,707,516","602,175","National Grid"
"   11222 (40.728253121784, -73.947159783197)","Institutional","2,368,948","249,937","National Grid"
"   10314 (40.596490302985, -74.165991118795)","Commercial","42,747,652","4,510,117","National Grid"
"   10013 (40.721242188776, -74.008889000227)","Large Residential","1,137,066","119,967","ConEd"
"   11428 (40.721396964798, -73.741937297268)","Institutional","196,563","20,738","National Grid"
"   11355 (40.751299796948, -73.821478547897)","Commercial","4,323,496","456,153","ConEd"
"   11208 (40.674013182662, -73.872064930052)","Commercial","2,729,613","287,989","National Grid"
"   11220 (40.641184928741, -74.016764726711)","Commercial","5,007,824","528,353","National Grid"
"   11103 (40.762868930257, -73.91327185811)","Residential","2,853,904","301,103","ConEd"
"   10451 (40.820696407114, -73.923841367985)","Residential","259,959","27,427","ConEd"
"   10010 (40.739140782121, -73.982898456399)","Commercial","3,814,933","402,497","ConEd"
"   11377 (40.745193764481, -73.90484714408)","Industrial","705,930","74,480","National Grid"
"   11372 (40.751630739367, -73.883612545283)","Institutional","367,432","38,766","National Grid"
"   11207 (40.670802431187, -73.893841150049)","Small residential","12,107,357","1,277,394","National Grid"
"   10463 (40.881871962821, -73.911207480541)","Residential","507,053","53,497","ConEd"
"   10014 (40.733586451354, -74.010199604728)","Commercial","17,212","1,816","ConEd"
"   11366 (40.728164407262, -73.792268173937)","Commercial","636,236","67,126","ConEd"
"   11214 (40.604011809897, -74.000969000119)","Commercial","3,050,502","321,845","National Grid"
"   11434 (40.676945262114, -73.775306901692)","Institutional","2,215,716","233,770","National Grid"
"   11411 (40.694293339066, -73.735683291251)","Large residential","45,368","4,787","National Grid"
"   11366 (40.728164407262, -73.792268173937)","Small residential","6,521","688","National Grid"
"   10304 (40.591229442585, -74.111328000087)","Large residential","3,415,047","360,307","National Grid"
"   11423 (40.717222295672, -73.76714149998)","Institutional","508,795","53,681","National Grid"
"   11222 (40.728253121784, -73.947159783197)","Commercial","3,484,625","367,647","National Grid"
"   11206 (40.701912016826, -73.942379198541)","Large residential","22,360,022","2,359,108","National Grid"
"   10460 (40.843090348041, -73.87860282506)","Commercial","7,936,792","837,376","ConEd"
"   11239 (40.64949607998, -73.865524999879)","Industrial","11,771","1,242","National Grid"
"   10028 (40.776344978838, -73.952966679569)","Commercial","4,496,346","474,390","ConEd"
"   11434 (40.676945262114, -73.775306901692)","Industrial","284,067","29,971","National Grid"
"   11430 (40.647229326173, -73.786374952542)","Small residential","9,195","970","National Grid"
"   10065 (40.764301213031, -73.963039935445)","Large Residential","10,486,338","1,106,367","ConEd"
"   10023 (40.774536138232, -73.979943356101)","Commercial","10,588,895","1,117,188","ConEd"
"   10302 (40.630833311108, -74.137734298699)","Commercial","1,185,147","125,040","National Grid"
"   11415 (40.708286075142, -73.828556121568)","Residential","1,303","137","ConEd"
"   11102 (40.771524024514, -73.926435450735)","Large Residential","79,519","8,390","ConEd"
"   10028 (40.776344978838, -73.952966679569)","Large Residential","420,403","44,355","ConEd"
"   11373 (40.738710402563, -73.878351155182)","Commercial","3,054,489","322,266","National Grid"
"   11367 (40.730323085042, -73.82610630716)","Residential","2,905,831","306,581","ConEd"
"   11040 (40.745299961824, -73.679631932268)","Commercial","42,315","4,464","ConEd"
"   11355 (40.751299796948, -73.821478547897)","Commercial","5,137,322","542,016","ConEd"
"   11420 (40.673345242689, -73.817707171649)","Large residential","108,873","11,487","National Grid"
"   10018 (40.756840774582, -73.996691499813)","Residential","476,865","50,312","ConEd"
"   11211 (40.711589765256, -73.958176750756)","Residential",,,"ConEd"
"   11370 (40.75935377086, -73.8918440004)","Residential","24,585","2,594","ConEd"
"   11359 (40.791592466119, -73.776938368111)","Commercial","128","13","ConEd"
"   11355 (40.751299796948, -73.821478547897)","Large Residential","2,632,163","277,708","ConEd"
"   11692 (40.59313388562, -73.795402084638)","Commercial","777,179","81,997","National Grid"
"   11213 (40.671225169206, -73.936443366368)","Industrial","24,515","2,586","National Grid"
"   11208 (40.674013182662, -73.872064930052)","Institutional","2,265,878","239,063","National Grid"
"   10011 (40.744715266696, -74.00460000029)","Residential","4,029,369","425,121","ConEd"
"   10014 (40.733586451354, -74.010199604728)","Residential","213,234","22,497","ConEd"
"   10011 (40.744715266696, -74.00460000029)","Commercial","4,672,054","492,928","ConEd"
"   10028 (40.776344978838, -73.952966679569)","Commercial","1,684,068","177,679","ConEd"
"   10010 (40.739140782121, -73.982898456399)","Residential","61,263","6,464","ConEd"
"   11230 (40.621929510239, -73.965511060187)","Commercial","2,318,028","244,565","National Grid"
"   11203 (40.649721601171, -73.934276085673)","Commercial","2,692,298","284,053","National Grid"
"   11224 (40.576304656335, -73.999532000401)","Industrial","101,615","10,721","National Grid"
"   10469 (40.868181802748, -73.846568687795)","Residential","623,043","65,734","ConEd"
"   10467 (40.877047912132, -73.871532500824)","Residential","1,242,679","131,110","ConEd"
"   11004 (40.743237834359, -73.712015000192)","Large Residential","3,975,637","419,452","ConEd"
"   11242 (40.693150000372, -73.991029000388)","Commercial","147,434","15,555","National Grid"
"   11104 (40.744893366636, -73.920541345307)","Commercial","1,377,109","145,293","ConEd"
"   10030 (40.818435176043, -73.942765303576)","Commercial","879,734","92,817","ConEd"
"   11411 (40.694293339066, -73.735683291251)","Commercial","262,173","27,661","National Grid"
"   10006 (40.708256140309, -74.013553569641)","Residential","2,076","219","ConEd"
"   10021 (40.769205327664, -73.959183941086)","Residential","185,761","19,599","ConEd"
"   11225 (40.663170058551, -73.953701109119)","Large residential","12,401,180","1,308,394","National Grid"
"   11209 (40.623387097237, -74.030652953471)","Industrial","29,677","3,131","National Grid"
"   10308 (40.552935295428, -74.151302759814)","Industrial","4,178","441","National Grid"
"   11412 (40.698127117473, -73.759235198346)","Small residential","9,127,477","963,000","National Grid"
"   10025 (40.796850127631, -73.963725810598)","Commercial","2,954,498","311,716","ConEd"
"   11366 (40.728164407262, -73.792268173937)","Commercial","4,025","425","ConEd"
"   11371 (40.775567374635, -73.870865499743)","Commercial","1,381,802","145,788","National Grid"
"   10028 (40.776344978838, -73.952966679569)","Residential","238,163","25,128","ConEd"
"   11433 (40.698104881735, -73.787574033914)","Industrial","2,449,515","258,438","National Grid"
"   10014 (40.733586451354, -74.010199604728)","Large Residential","182,728","19,279","ConEd"
"   10453 (40.852786838342, -73.913426784319)","Residential","785,354","82,859","ConEd"
"   10021 (40.769205327664, -73.959183941086)","Commercial","3,187,154","336,263","ConEd"
"   11220 (40.641184928741, -74.016764726711)","Small residential","10,755,271","1,134,741","National Grid"
"   10003 (40.731943947555, -73.98887214913)","Residential","3,229,606","340,742","ConEd"
"   11366 (40.728164407262, -73.792268173937)","Residential","2,205,608","232,704","ConEd"
"   10036 (40.759346827194, -73.989860554421)","Residential","1,350,797","142,517","ConEd"
"   10012 (40.725538020863, -73.997896410591)","Residential","2,706,972","285,601","ConEd"
"   10472 (40.829730432513, -73.870132131393)","Large Residential","17,374","1,833","ConEd"
"   11366 (40.728164407262, -73.792268173937)","Commercial","1,151,855","121,527","ConEd"
"   10311 (40.607540999617, -74.171058999973)","Institutional","18,255","1,926","National Grid"
"   11208 (40.674013182662, -73.872064930052)","Industrial","1,481,393","156,295","National Grid"
"   11211 (40.711589765256, -73.958176750756)","Commercial","4,822,516","508,802","National Grid"
"   11204 (40.619055848049, -73.984798598876)","Industrial","162,329","17,127","National Grid"
"   10037 (40.813297761083, -73.937282525568)","Commercial","590,552","62,307","ConEd"
"   11439 (40.72192479939, -73.794555132813)","Commercial","3,739","395","ConEd"
"   10038 (40.709359291898, -74.003071862376)","Large Residential","217,207","22,917","ConEd"
"   10310 (40.632789000212, -74.11645860538)","Large residential","1,270,998","134,097","National Grid"
"   10069 (40.778254000322, -73.988541999913)","Commercial","791,481","83,506","ConEd"
"   10040 (40.858095531883, -73.929255489949)","Large Residential","186,062","19,631","ConEd"
"   10468 (40.869693003729, -73.898926992487)","Commercial","7,690","811","ConEd"
"   11103 (40.762868930257, -73.91327185811)","Residential","454,090","47,909","ConEd"
