"System","DF Activated","FountainType","FountainCount","Painted","Filter Installed","Position","Outdoor","GISPropNum","PropertyName","OMPPropID","SubPropertyName","ParkDistrict","Borough","AMPSID","AMPSClass","AMPSStatus","AMPSParentID","AMPSName","CommunityBoard","CouncilDistrict","Precinct","ZIPCode","x","y"
"B001-DF0207","Activated","A","1","true","false","Under Tree, In Playground","true","B001","American Playground","B001",,"B-01","B","100,037,676","DRINKFTN","D","B001","A-American Playground","301","33","94","11,222","995,853.631964474","204,780.745671972"
"B002-DF0731","Broken","E","1","true","false","Out in Open","true","B002","Amersfort Park","B002",,"B-18","B","100,039,159","DRINKFTN","I","B002","E-Amersfort Park","318","45","63","11,210","1,001,205.71968546","168,004.324802398"
"B002-DF0732","Broken","E","1","true","false","Under Tree, Out in Open","true","B002","Amersfort Park","B002",,"B-18","B","100,039,177","DRINKFTN","I","B002","E-Amersfort Park","318","45","63","11,210","1,001,167.86936746","168,468.868820816"
"B007-DF0754","UnderConstruction","CS Metal","1","false","false","In Shade","true","B007","Bensonhurst Park","B007",,"B-11","B","100,039,198","DRINKFTN","I","B007","CS Metal-Bensonhurst Park","311","43","62","11,214","984,267.19581981","157,078.860104814"
"B007-DF0756","UnderConstruction","A","1","true","true","Out in Open, In Playground","true","B007","Bensonhurst Park","B007-01","Bensonhurst Park Playground","B-11","B","100,039,249","DRINKFTN","I","B007-01","A-Bensonhurst Park-Bensonhurst Park Playground","311","43","62","11,214","984,301.209531307","156,806.697591394"
"B007-DF0757","UnderConstruction","A","1","true","true","Near Ballfield, Out in Open","true","B007","Bensonhurst Park","B007",,"B-11","B","100,039,244","DRINKFTN","I","B007","A-Bensonhurst Park","311","43","62","11,214","983,842.562154635","156,796.758306816"
"B007-DF0765","Broken","A","1","true","false","Out in Open","true","B007","Bensonhurst Park","B007",,"B-11","B","100,039,304","DRINKFTN","I","B007","A-Bensonhurst Park","311","43","62","11,214","983,695.758642465","156,090.611097052"
"B007-DF0766","UnderConstruction","A","1","true","true","Near Ballfield, Out in Open","true","B007","Bensonhurst Park","B007",,"B-11","B","100,039,306","DRINKFTN","I","B007","A-Bensonhurst Park","311","43","62","11,214","983,925.259823888","157,053.374591469"
"B007-DF0767","Broken","A","1","true","false","Out in Open","true","B007","Bensonhurst Park","B007",,"B-11","B","100,039,333","DRINKFTN","I","B007","A-Bensonhurst Park","311","43","62","11,214","983,845.994234383","156,277.020173057"
"B008-DF0018","Activated","F High Low","2","true","false","Just Outside Playground","true","B008","Betsy Head Park","B008-03","Imagination Playground at Betsy Head","B-16","B","100,037,440","DRINKFTN","I","B008-03","F High Low-Betsy Head Park-Imagination Playground at Betsy Head","316","41","73","11,212","1,008,748.32500705","181,283.89502798"
"B008-DF0022","Activated","F High Low","2","true","false","Out in Open","true","B008","Betsy Head Park","B008-03","Imagination Playground at Betsy Head","B-16","B","100,037,432","DRINKFTN","I","B008-03","F High Low-Betsy Head Park-Imagination Playground at Betsy Head","316","41","73","11,212","1,008,737.14064621","181,296.542968556"
"B008-DF0133","Broken","A","1","true","false","Near Ballfield","true","B008","Betsy Head Park","B008",,"B-16","B","100,037,575","DRINKFTN","I","B008","A-Betsy Head Park","316","41","73","11,212","1,008,028.22736588","180,863.657679483"
"B008-DF0136","Broken","A","1","true","false","Under Tree, In Shade","true","B008","Betsy Head Park","B008",,"B-16","B","100,037,571","DRINKFTN","I","B008","A-Betsy Head Park","316","41","73","11,212","1,008,184.42259155","180,525.777449727"
"B008-DF0137","Broken","A","1","true","false","Near Ballfield","true","B008","Betsy Head Park","B008",,"B-16","B","100,037,493","DRINKFTN","I","B008","A-Betsy Head Park","316","41","73","11,212","1,008,329.18608155","180,674.919539898"
"B008-DF0139","Activated","A","1","true","false","Out in Open","true","B008","Betsy Head Park","B008",,"B-16","B","100,037,565","DRINKFTN","I","B008","A-Betsy Head Park","316","41","73","11,212","1,008,425.68260772","180,608.617835223"
"B008-DF0140","Activated","D","1","true","true","Out in Open","true","B008","Betsy Head Park","B008",,"B-16","B","100,037,498","DRINKFTN","I","B008","D-Betsy Head Park","316","41","73","11,212","1,008,347.29660964","180,975.944200307"
"B008-DF0141","Activated","A","1","true","false","Out in Open","true","B008","Betsy Head Park","B008",,"B-16","B","100,037,522","DRINKFTN","I","B008","A-Betsy Head Park","316","41","73","11,212","1,008,542.41334538","181,012.305676147"
"B008-DF1027","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B008","Betsy Head Park","B008",,"B-16","B","100,042,935","DRINKFTN","I","B008-BLG1187","Indoor Fountain-Betsy Head Park-Field House","316","41","73","11,212","1,008,610.0349293","180,838.288963809"
"B008-DF1037","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B008","Betsy Head Park","B008",,"B-16","B","100,042,964","DRINKFTN","I","B008-BLG1187","Indoor Drinking Fountain-Betsy Head Park-Field House","316","41","73","11,212","1,008,610.0349293","180,838.288963809"
"B010-DF0637","NotYetActivated","A","1","false","false",,"true","B010","Brooklyn Botanic Garden","B010",,"B-19","B","100,038,852","DRINKFTN","I","B010","A-Brooklyn Botanic Garden","355","35","78","11,238","994,005.592353478","183,237.284165814"
"B010-DF0980","NotYetActivated","E High Low","2",,"false",,"true","B010","Brooklyn Botanic Garden","B010",,"B-19","B","100,042,941","DRINKFTN","I","B010","E High Low-Brooklyn Botanic Garden","355","35","78","11,238","994,148.864376634","182,364.928955137"
"B010-DF0984","NotYetActivated","E","1",,"false",,"true","B010","Brooklyn Botanic Garden","B010",,"B-19","B","100,042,972","DRINKFTN","I","B010","E-Brooklyn Botanic Garden","355","35","78","11,238","994,726.746422976","181,768.635200232"
"B010-DF0985","NotYetActivated","E","1",,"false",,"true","B010","Brooklyn Botanic Garden","B010",,"B-19","B","100,042,952","DRINKFTN","I","B010","E-Brooklyn Botanic Garden","355","35","78","11,238","994,727.66440013","181,125.018705308"
"B010-DF0986","NotYetActivated","E","1",,"false",,"true","B010","Brooklyn Botanic Garden","B010",,"B-19","B","100,042,977","DRINKFTN","I","B010","E-Brooklyn Botanic Garden","355","35","78","11,238","994,820.592691972","181,485.549808397"
"B012-DF0463","Activated","C","1","true","false","Under Tree, In Playground","true","B012","Brower Park","B012-03","Brower Park","B-08","B","100,038,054","DRINKFTN","I","B012-03","C-Brower Park-Brower Park","308","36","77","11,213","999,978.754619717","184,953.855863899"
"B012-DF0466","Activated","C","1","true","true","Out in Open","true","B012","Brower Park","B012",,"B-08","B","100,037,997","DRINKFTN","I","B012","C-Brower Park","308","36","77","11,213","999,837.982263475","184,793.689845636"
"B016-DF0012","Broken","C","1","false","false","In Playground","true","B016","Maria Hernandez Park","B016-01","Maria Hernandez Park Playground","B-04","B","100,037,431","DRINKFTN","I","B016-01","C-Maria Hernandez Park-Maria Hernandez Park Playground","304","34","83","11,237","1,005,255.42648105","195,413.508172899"
"B016-DF0013","Activated","E","1","true","false","Out in Open","true","B016","Maria Hernandez Park","B016",,"B-04","B","100,037,411","DRINKFTN","I","B016","E-Maria Hernandez Park","304","34","83","11,237","1,005,289.06748989","195,461.591738149"
"B016-DF0014","Activated","E High Low","2","true","false","Out in Open","true","B016","Maria Hernandez Park","B016",,"B-04","B","100,037,428","DRINKFTN","I","B016","E High Low-Maria Hernandez Park","304","34","83","11,237","1,005,436.05440063","195,483.269516304"
"B016-DF0015","Activated","A","1","true","false","Near Ballfield","true","B016","Maria Hernandez Park","B016-02","Maria Hernandez Park","B-04","B","100,037,408","DRINKFTN","I","B016-02","A-Maria Hernandez Park-Maria Hernandez Park","304","34","83","11,237","1,005,402.87566122","195,727.05774264"
"B016-DF0016","Activated","E and Dog","2","true","true","Out in Open","true","B016","Maria Hernandez Park","B016",,"B-04","B","100,037,425","DRINKFTN","I","B016","E and Dog-Maria Hernandez Park","304","34","83","11,237","1,005,528.38295613","195,722.065298557"
"B016-DF0017","Activated","E and Dog","2","true","true","Out in Open","true","B016","Maria Hernandez Park","B016",,"B-04","B","100,037,405","DRINKFTN","I","B016","E and Dog-Maria Hernandez Park","304","34","83","11,237","1,005,564.27363239","195,715.39634864"
"B017-DF0043","Activated","A","1","true","false","Out in Open, Near Ballfield","true","B017","Bushwick Playground","B017",,"B-04","B","100,037,458","DRINKFTN","I","B017","A-Bushwick Playground","304","37","83","11,237","1,008,379.95238421","192,823.812564894"
"B017-DF0044","Activated","A","1","true","false","Out in Open, Near Ballfield","true","B017","Bushwick Playground","B017",,"B-04","B","100,037,479","DRINKFTN","I","B017","A-Bushwick Playground","304","37","83","11,237","1,008,366.96126846","192,907.577817305"
"B017-DF0045","Activated","A","1","true","false","Just Outside Playground, Near Ballfield","true","B017","Bushwick Playground","B017",,"B-04","B","100,037,455","DRINKFTN","I","B017","A-Bushwick Playground","304","37","83","11,237","1,008,639.66315089","192,925.078438475"
"B017-DF0046","Activated","C","1","false","false","Under Tree, In Shade, Out in Open, Near Ballfield, Just Outside Playground","true","B017","Bushwick Playground","B017",,"B-04","B","100,037,476","DRINKFTN","I","B017","C-Bushwick Playground","304","37","83","11,237","1,008,697.60299563","192,895.769113898"
"B017-DF0047","Activated","C","1","false","false","Under Tree, In Shade, Out in Open, In Playground","true","B017","Bushwick Playground","B017",,"B-04","B","100,037,452","DRINKFTN","I","B017","C-Bushwick Playground","304","37","83","11,237","1,008,732.96939471","192,801.862805649"
"B017-DF0048","Activated","C","1","false","false","Out in Open, Just Outside Playground","true","B017","Bushwick Playground","B017",,"B-04","B","100,037,488","DRINKFTN","I","B017","C-Bushwick Playground","304","37","83","11,237","1,008,662.42721296","192,849.787250474"
"B018-DF0200","Activated","E and Dog","2","true","false","Out in Open","true","B018","Canarsie Park","B018-ZN02","Canarsie Park Zone 2","B-18","B","100,037,613","DRINKFTN","I","B018-ZN02","E and Dog-Canarsie Park-Canarsie Park Zone 2","318","46","69","11,236","1,013,060.0929583","168,383.100619643"
"B018-DF0807","Activated","H","1","true","false","Near Ballfield, Out in Open","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100,039,887","DRINKFTN","I","B018-ZN01","H-Canarsie Park-Canarsie Park Zone 1","318","46","69","11,236","1,013,795.16825979","168,223.815505146"
"B018-DF0808","Activated","A","1","true","false","Near Ballfield, Under Tree","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100,039,811","DRINKFTN","I","B018-ZN01","A-Canarsie Park-Canarsie Park Zone 1","318","46","69","11,236","1,013,541.21469947","168,110.401033803"
"B018-DF0809","Activated","H","1","true","false","Near Ballfield, Out in Open","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100,039,792","DRINKFTN","I","B018-ZN01","H-Canarsie Park-Canarsie Park Zone 1","318","46","69","11,236","1,013,339.9093278","168,514.855277389"
"B018-DF0810","Activated","A","1","true","false","Out in Open, Near Ballfield","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100,039,808","DRINKFTN","I","B018-ZN01","A-Canarsie Park-Canarsie Park Zone 1","318","46","69","11,236","1,013,595.00691472","168,742.354166224"
"B018-DF0811","Activated","D","1","false","false","Out in Open, In Playground","true","B018","Canarsie Park","B018-01","Dinapoli Plgd","B-18","B","100,039,834","DRINKFTN","I","B018-01","D-Canarsie Park-Dinapoli Plgd","318","46","69","11,236","1,014,038.11232772","169,176.024230644"
"B018-DF0812","Activated","A","1","false","false","Out in Open, In Playground","true","B018","Canarsie Park","B018-01","Dinapoli Plgd","B-18","B","100,039,859","DRINKFTN","I","B018-01","A-Canarsie Park-Dinapoli Plgd","318","46","69","11,236","1,013,895.91576172","169,071.305608063"
"B018-DF0813","Activated","A","1","false","false","In Playground, Out in Open","true","B018","Canarsie Park","B018-01","Dinapoli Plgd","B-18","B","100,039,862","DRINKFTN","I","B018-01","A-Canarsie Park-Dinapoli Plgd","318","46","69","11,236","1,013,847.25444172","169,090.285885065"
"B018-DF0814","Broken","A","1","true","false","Near Ballfield, Out in Open","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100,039,885","DRINKFTN","I","B018-ZN01","A-Canarsie Park-Canarsie Park Zone 1","318","46","69","11,236","1,013,974.50582763","168,754.343315482"
"B018-DF0815","Broken","A","1","true","false","Out in Open, Near Ballfield","true","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100,039,809","DRINKFTN","I","B018-ZN01","A-Canarsie Park-Canarsie Park Zone 1","318","46","69","11,236","1,013,988.73283331","168,418.482438638"
"B018-DF0816","Activated","C","1","false","false","In Playground, Out in Open","true","B018","Canarsie Park","B018-02","Canarsie Playground","B-18","B","100,039,836","DRINKFTN","I","B018-02","C-Canarsie Park-Canarsie Playground","318","46","69","11,236","1,012,146.43041555","167,735.40145573"
"B018-DF0817","Activated","C","1","false","false","Out in Open, Near Ballfield","true","B018","Canarsie Park","B018-ZN02","Canarsie Park Zone 2","B-18","B","100,039,874","DRINKFTN","I","B018-ZN02","C-Canarsie Park-Canarsie Park Zone 2","318","46","69","11,236","1,011,952.30186679","167,402.796477898"
"B018-DF1058","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100,042,957","DRINKFTN","I","B018-BLG1203","Indoor Drinking Fountain-Canarsie Park-Comfort Station","318","46","69","11,236","1,013,125.66533371","168,441.261264473"
"B018-DF1121","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B018","Canarsie Park","B018-ZN01","Canarsie Park Zone 1","B-18","B","100,042,936","DRINKFTN","I","B018-BLG1203","Indoor Drinking Fountain-Canarsie Park-Comfort Station","318","46","69","11,236","1,013,125.66533371","168,441.261264473"
"B019-DF0242","Activated","A","1","false","false","In Playground","true","B019","Carroll Park","B019",,"B-06","B","100,037,600","DRINKFTN","I","B019","A-Carroll Park","306","39","76","11,231","985,658.233392059","187,366.497692137"
"B019-DF0243","Activated","A","1","false","false","In Playground","true","B019","Carroll Park","B019",,"B-06","B","100,037,625","DRINKFTN","I","B019","A-Carroll Park","306","39","76","11,231","985,483.318059474","187,446.659605309"
"B019-DF0245","Activated","C","1","false","false","Near Ballfield, In Playground","true","B019","Carroll Park","B019",,"B-06","B","100,037,654","DRINKFTN","I","B019","C-Carroll Park","306","39","76","11,231","985,316.721935972","187,524.360893473"
"B021-DF0227","Activated","A","1","true","true","Under Tree, Just Outside Playground, Out in Open","true","B021","Commodore Barry Park","B021",,"B-02","B","100,037,597","DRINKFTN","I","B021","A-Commodore Barry Park","302","35","88","11,201","990,049.673099964","193,407.898667067"
"B021-DF0228","Activated","F","1","true","false","Out in Open, Near Ballfield, Just Outside Playground","true","B021","Commodore Barry Park","B021",,"B-02","B","100,037,620","DRINKFTN","I","B021","F-Commodore Barry Park","302","35","88","11,201","990,267.924631968","193,387.670032978"
"B021-DF0230","Activated","F","1","true","false","Out in Open","true","B021","Commodore Barry Park","B021",,"B-02","B","100,037,593","DRINKFTN","I","B021","F-Commodore Barry Park","302","35","88","11,201","990,432.314723134","193,069.121129393"
"B021-DF0733","Activated","A","1","true","false","In Playground, Under Tree","true","B021","Commodore Barry Park","B021-01","Commodore Barry Park Playground","B-02","B","100,039,103","DRINKFTN","I","B021-01","A-Commodore Barry Park-Commodore Barry Park Playground","302","35","88","11,201","990,174.571472227","193,588.2519809"
"B021-DF0734","Activated","A","1","true","false","Under Tree, Just Outside Playground","true","B021","Commodore Barry Park","B021",,"B-02","B","100,039,140","DRINKFTN","I","B021","A-Commodore Barry Park","302","35","88","11,201","990,221.043820217","193,259.480656802"
"B021-DF0735","Activated","A","1","true","true","Near Ballfield","true","B021","Commodore Barry Park","B021",,"B-02","B","100,039,104","DRINKFTN","I","B021","A-Commodore Barry Park","302","35","88","11,201","989,711.070758804","193,298.44252114"
"B021-DF1081","NotYetActivated","Indoor Drinking Fountain","1",,"true","Indoor","false","B021","Commodore Barry Park","B021",,"B-02","B","100,042,342","DRINKFTN","I","B021-BLG1003","Indoor Drinking Fountain-Commodore Barry Park-Women's Bathhouse","302","35","88","11,201","990,407.050009891","193,406.357331559"
"B021-DF1112","NotYetActivated","Indoor Drinking Fountain","1",,"true","Indoor","false","B021","Commodore Barry Park","B021",,"B-02","B","100,042,346","DRINKFTN","I","B021-BLG1004","Indoor Drinking Fountain-Commodore Barry Park-Men's Bathhouse","302","35","88","11,201","990,426.062439054","193,523.64777939"
"B021-DF1129","Activated","Slop Sink","1",,"false","Indoor","false","B021","Commodore Barry Park","B021",,"B-02","B","100,042,486","DRINKFTN","I","B021-BLG1003","Slop Sink-Commodore Barry Park-Women's Bathhouse","302","35","88","11,201","990,407.050009891","193,406.357331559"
"B021-DF1131","Activated","Slop Sink","1",,"false","Indoor","false","B021","Commodore Barry Park","B021",,"B-02","B","100,042,467","DRINKFTN","I","B021-BLG1004","Slop Sink-Commodore Barry Park-Men's Bathouse","302","35","88","11,201","990,426.062439054","193,523.64777939"
"B022-DF0481","Activated","C","1","false","false","Just Outside Playground","true","B022","Middleton Playground","B022",,"B-01","B","100,038,158","DRINKFTN","I","B022","C-Middleton Playground","301","33","90","11,206","996,677.165750473","194,539.407886981"
"B023-DF0979","Activated","D","1",,"false",,"true","B023","Lafayette Playground","B023",,"B-03","B","100,042,954","DRINKFTN","I","B023","D-Lafayette Playground","303","36","81","11,221","1,003,648.50449804","191,573.960405811"
"B025-DF0395","Activated","E","1","false","false","In Playground","true","B025","Cooper Park","B025",,"B-01","B","100,037,945","DRINKFTN","I","B025","E-Cooper Park","301","34","90","11,211","1,001,907.8947903","199,958.703806892"
"B025-DF0396","Activated","E","1","false","false","Near Ballfield","true","B025","Cooper Park","B025",,"B-01","B","100,037,991","DRINKFTN","I","B025","E-Cooper Park","301","34","90","11,211","1,001,893.38596105","200,066.496898397"
"B025-DF0397","Activated","C","1","false","false","In Playground","true","B025","Cooper Park","B025-01","Carnegie Plgd","B-01","B","100,037,912","DRINKFTN","I","B025-01","C-Cooper Park-Carnegie Plgd","301","34","90","11,211","1,001,580.63068105","200,199.924124971"
"B026-DF0717","Activated","E","1","true","false","In Playground, Under Tree","true","B026","Cuyler Gore Park","B026",,"B-02","B","100,039,115","DRINKFTN","I","B026","E-Cuyler Gore Park","302","35","88","11,238","991,999.486785635","189,074.899787142"
"B028-DF0651","Activated","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100,038,999","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11,228","978,491.653893217","160,455.73294422"
"B028-DF0652","Activated","A","1","false","true","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100,039,027","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11,228","978,890.09765014","160,320.714185386"
"B028-DF0653","Activated","C","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100,039,007","DRINKFTN","I","B028-ZN01","C-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11,228","978,628.796007394","160,245.125097721"
"B028-DF0654","Activated","C","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100,038,994","DRINKFTN","I","B028-ZN01","C-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11,228","978,649.954429641","160,237.824587389"
"B028-DF0656","Activated","A","1","false","false","In Playground","true","B028","Dyker Beach Park","B028-01","Bay 8 Playground","B-10","B","100,039,087","DRINKFTN","I","B028-01","A-Dyker Beach Park-Bay 8 Playground","310","43","68","11,228","979,690.569474384","160,320.083937317"
"B028-DF0657","Activated","A","1","false","false","In Playground","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100,039,043","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11,228","979,555.98772256","160,468.638758316"
"B028-DF0659","Activated","A","1","false","true","In Playground","true","B028","Dyker Beach Park","B028-03","Dyker Plgd","B-10","B","100,039,044","DRINKFTN","I","B028-03","A-Dyker Beach Park-Dyker Plgd","310","43","68","11,228","980,828.948759302","162,448.178106307"
"B028-DF0662","Activated","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100,039,060","DRINKFTN","I","B028-ZN02","A-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11,228","980,660.557035714","162,349.725875392"
"B028-DF0664","Activated","A","1","false","false","In Playground","true","B028","Dyker Beach Park","B028-03","Dyker Plgd","B-10","B","100,039,085","DRINKFTN","I","B028-03","A-Dyker Beach Park-Dyker Plgd","310","43","68","11,228","980,640.673873394","162,509.538219809"
"B028-DF0665","Activated","D","1","false","false","In Playground","true","B028","Dyker Beach Park","B028-03","Dyker Plgd","B-10","B","100,039,091","DRINKFTN","I","B028-03","D-Dyker Beach Park-Dyker Plgd","310","43","68","11,228","980,638.465872556","162,632.74696289"
"B028-DF0666","Activated","C","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100,039,020","DRINKFTN","I","B028-ZN02","C-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11,228","980,202.742006465","162,622.382482305"
"B028-DF0667","Activated","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100,039,063","DRINKFTN","I","B028-ZN02","A-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11,228","980,456.442942634","162,842.310848221"
"B028-DF0726","Activated","A","1","false","false","Just Outside Playground","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100,039,163","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11,228","979,444.809795305","160,062.450266227"
"B028-DF0727","Activated","A","1","false","false","Just Outside Playground","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100,039,165","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11,228","979,549.983141392","160,194.978872567"
"B028-DF0860","Broken","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100,040,079","DRINKFTN","I","B028-ZN02","A-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11,228","980,438.553542718","162,014.461454063"
"B028-DF0861","Broken","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100,040,010","DRINKFTN","I","B028-ZN02","A-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11,228","980,168.886431142","161,611.548217892"
"B028-DF0862","Activated","Bottle Filler High Low","3","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100,040,005","DRINKFTN","I","B028-ZN02","Bottle Filler High Low-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11,228","979,824.671896472","162,030.583140984"
"B028-DF0863","Activated","C","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN02","Dyker Beach Park Zone 2","B-10","B","100,040,076","DRINKFTN","I","B028-ZN02","C-Dyker Beach Park-Dyker Beach Park Zone 2","310","43","68","11,228","979,985.93305689","162,248.659476473"
"B028-DF0864","Broken","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100,040,006","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11,228","978,664.729990631","159,582.989282891"
"B028-DF0865","Activated","A","1","false","false","Near Ballfield","true","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100,040,070","DRINKFTN","I","B028-ZN01","A-Dyker Beach Park-Dyker Beach Park Zone 1","310","43","68","11,228","979,021.738462969","159,578.829514309"
"B028-DF1021","Activated","Other","1",,"false",,"true","B028","Dyker Beach Park","B028",,"B-10","B","100,042,965","DRINKFTN","I","B028","Other-Dyker Beach Park","310","43","68","11,228","978,515.248990386","164,396.856951728"
"B028-DF1022","Activated","Other","1",,"false",,"true","B028","Dyker Beach Park","B028",,"B-10","B","100,042,978","DRINKFTN","I","B028","Other-Dyker Beach Park","310","43","68","11,228","978,455.676931053","164,363.001048311"
"B028-DF1103","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B028","Dyker Beach Park","B028-ZN01","Dyker Beach Park Zone 1","B-10","B","100,042,969","DRINKFTN","I","B028-ZN01-BLG1103","Indoor Drinking Fountain-Dyker Beach Park-DYKER BAY 86","310","43","68","11,228","979,316.18603681","159,941.854050725"
"B028-DF1111","Activated","Indoor Drinking Fountain","1",,"false","Indoor","false","B028","Dyker Beach Park","B028",,"B-10","B","100,043,588","DRINKFTN","I","B028-BLG1108","Indoor Drinking Fountain-Dyker Beach Park-DYKER GOLF","310","43","68","11,228","978,566.45820555","164,040.92262423"
"B032-DF0002","Activated","E","1","true","true","In Playground, Under Tree","true","B032","Fort Greene Park","B032-01","Fort Greene Plgd","B-02","B","100,037,430","DRINKFTN","I","B032-01","E-Fort Greene Park-Fort Greene Plgd","302","35","88","11,201","990,627.357640132","191,575.427594482"
"B032-DF0320","Activated","C","1","false","false","Out in Open","true","B032","Fort Greene Park","B032-ZN03","Fort Greene Park Zone 3","B-02","B","100,037,724","DRINKFTN","I","B032-ZN03","C-Fort Greene Park-Fort Greene Park Zone 3","302","35","88","11,201","991,242.045715227","191,375.911589309"
"B032-DF0322","Activated","E and Dog","2","true","false","Out in Open","true","B032","Fort Greene Park","B032-ZN02","Fort Greene Park Zone 2","B-02","B","100,037,794","DRINKFTN","I","B032-ZN02","E and Dog-Fort Greene Park-Fort Greene Park Zone 2","302","35","88","11,201","991,267.982671216","190,924.76911889"
"B032-DF0323","Activated","B","1","false","false","Out in Open","true","B032","Fort Greene Park","B032-ZN02","Fort Greene Park Zone 2","B-02","B","100,037,817","DRINKFTN","I","B032-ZN02","B-Fort Greene Park-Fort Greene Park Zone 2","302","35","88","11,201","991,089.8278438","190,898.382360637"
"B032-DF0324","Activated","D","1","true","false","In Playground","true","B032","Fort Greene Park","B032-02","Fort Greene Park","B-02","B","100,037,845","DRINKFTN","I","B032-02","D-Fort Greene Park-Fort Greene Park","302","35","88","11,201","991,572.837704554","190,736.64154239"
"B032-DF0867","Activated","A","1","false","false","In Playground","true","B032","Fort Greene Park","B032-01","Fort Greene Plgd","B-02","B","100,040,147","DRINKFTN","I","B032-01","A-Fort Greene Park-Fort Greene Playground","302","35","88","11,201","990,557.030681058","191,516.213802143"
"B032-DF1104","Activated","Food Prep Sink","1",,"false","Indoor","false","B032","Fort Greene Park","B032-ZN03","Fort Greene Park Zone 3","B-02","B","100,042,958","DRINKFTN","I","B032-ZN01-BLG1013","Food Prep Sink-Fort Greene Park-Fort Greene Visitors Center","302","35","88","11,201","991,257.332758143","191,473.143350228"
"B032-DF1105","Activated","Water Cooler","1",,"false","Indoor","false","B032","Fort Greene Park","B032-ZN03","Fort Greene Park Zone 3","B-02","B","100,042,938","DRINKFTN","I","B032-ZN01-BLG1013","Water Cooler-Fort Greene Park-Fort Greene Visitors Center","302","35","88","11,201","991,257.332758143","191,473.143350228"
"B035-DF0699","Broken","A","1","false","false","Under Tree, Out in Open","true","B035","John Paul Jones Park","B035",,"B-10","B","100,039,133","DRINKFTN","I","B035","A-John Paul Jones Park","310","43","68","11,209","974,745.109220966","162,134.602617979"
