"ZIP","Building type (service class)"," Consumption (mlbs) "," Consumption (Mg) ","Utility/Data Source"
"   10020 (40.759498513146, -73.980074397216)","Commercial","400,627","181,721","ConEd"
"   10021 (40.769205327664, -73.959183941086)","Commercial","126,330","57,302","ConEd"
"   10016 (40.745242969987, -73.978232985864)","Commercial","21,855","9,913","ConEd"
"   10018 (40.756840774582, -73.996691499813)","Commercial","265,270","120,325","ConEd"
"   10001 (40.750259021437, -73.99688630376)","Commercial","177,244","80,397","ConEd"
"   10035 (40.793817035428, -73.919317500202)","Commercial","46,948","21,295","ConEd"
"   10009 (40.726649358981, -73.979111485007)","Large Residential","5,547","2,516","ConEd"
"   10065 (40.764301213031, -73.963039935445)","Commercial","286,837","130,107","ConEd"
"   10014 (40.733586451354, -74.010199604728)","Commercial","12,458","5,651","ConEd"
"   10026 (40.803058121635, -73.953342776048)","Large Residential","3,019","1,369","ConEd"
"   10012 (40.725538020863, -73.997896410591)","Large Residential","2,514","1,140","ConEd"
"   10013 (40.721242188776, -74.008889000227)","Commercial","76,658","34,771","ConEd"
"   10001 (40.750259021437, -73.99688630376)","Commercial","13,108","5,946","ConEd"
"   10019 (40.76761164716, -73.991805500224)","Commercial","38,019","17,245","ConEd"
"   10075 (40.772939491764, -73.956090162631)","Commercial","15,672","7,109","ConEd"
"   10007 (40.713630519433, -74.009131383706)","Commercial","176,697","80,148","ConEd"
"   10006 (40.708256140309, -74.013553569641)","Large Residential","16,759","7,602","ConEd"
"   10024 (40.783625568166, -73.966539000574)","Commercial","116,397","52,797","ConEd"
"   10025 (40.796850127631, -73.963725810598)","Large Residential","28,881","13,100","ConEd"
"   10065 (40.764301213031, -73.963039935445)","Commercial","94,145","42,704","ConEd"
"   10018 (40.756840774582, -73.996691499813)","Large Residential","11,889","5,393","ConEd"
"   10017 (40.752456527447, -73.97297648088)","Commercial","6,839,913","3,102,533","ConEd"
"   10018 (40.756840774582, -73.996691499813)","Commercial","15,940","7,230","ConEd"
"   10023 (40.774536138232, -73.979943356101)","Commercial","328,452","148,983","ConEd"
"   10002 (40.716121467931, -73.985831470246)","Large Residential","154,049","69,876","ConEd"
