Experiment,Lookback,Units,Dropout,Batch Size,LR (scaled),LR Schedule,Warmup steps,Weight Decay,Momentum,Init,Val Acc,Val Macro F1,Test Acc,Test Macro F1,Test Weighted F1,Test MAE,Epochs Trained
1,3,32,0.2,32,0.0001,constant,0,0.0,0.0,glorot_uniform,0.6174,0.6161,0.6746,0.6757,0.6773,0.3562,5
2,7,64,0.3,64,0.0003,cosine,50,0.0,0.0,glorot_uniform,0.6082,0.6084,0.6794,0.6831,0.6841,0.3433,5
3,14,64,0.3,64,0.0001,cosine,100,0.0,0.0,he_normal,0.6225,0.6228,0.6858,0.6874,0.6888,0.3344,16
4,7,128,0.5,32,0.0002,constant,0,0.0,0.0,he_normal,0.6106,0.6111,0.6807,0.684,0.6851,0.3398,5
5,7,64,0.3,128,0.002,constant,0,0.0,0.9,glorot_uniform,0.6051,0.6072,0.6835,0.6877,0.6881,0.3314,4
6,3,64,0.2,64,0.0003,cosine,20,0.0,0.9,glorot_uniform,0.613,0.6124,0.6731,0.6747,0.6761,0.3558,4
7,14,128,0.3,64,0.0003,cosine,100,0.0,0.9,he_normal,0.6217,0.6206,0.6853,0.6867,0.6884,0.3341,6
8,7,256,0.3,64,0.0003,cosine,50,0.0,0.0,he_normal,0.611,0.6104,0.6867,0.6894,0.6907,0.3324,5
9,7,128,0.3,64,0.001,constant,0,0.0,0.0,he_normal,0.6062,0.6068,0.6856,0.689,0.6897,0.331,4
