Experiment,Lookback,Units,Dropout,Batch Size,LR (scaled),LR Schedule,Warmup steps,Weight Decay,Momentum,Init,Val Acc,Val Macro F1,Test Acc,Test Macro F1,Test Weighted F1,Test MAE,Epochs Trained
1,3,32,0.2,32,0.0001,constant,0,0.0,0.0,glorot_uniform,0.7559,0.7543,0.6867,0.6872,0.6891,0.3355,20
2,7,64,0.3,64,0.0003,cosine,50,0.0,0.0,glorot_uniform,0.7536,0.7499,0.6909,0.6909,0.6922,0.3286,12
3,14,64,0.3,64,0.0001,cosine,100,0.0,0.0,he_normal,0.7578,0.7532,0.6891,0.6893,0.6905,0.3294,25
4,7,128,0.5,32,0.0002,constant,0,0.0,0.0,he_normal,0.7481,0.7449,0.6852,0.6853,0.6867,0.3358,9
5,7,64,0.3,128,0.002,constant,0,0.0,0.9,glorot_uniform,0.746,0.7423,0.6725,0.6702,0.6712,0.3561,7
6,3,64,0.2,64,0.0003,cosine,20,0.0,0.9,glorot_uniform,0.7579,0.7561,0.6867,0.6871,0.6889,0.3359,20
7,14,128,0.3,64,0.0003,cosine,100,0.0,0.9,he_normal,0.7586,0.7551,0.6862,0.6868,0.6881,0.3312,15
8,7,256,0.3,64,0.0003,cosine,50,0.0,0.0,he_normal,0.7487,0.7446,0.68,0.6803,0.6818,0.3439,11
9,7,128,0.3,64,0.001,constant,0,0.0,0.0,he_normal,0.7426,0.7369,0.6806,0.6775,0.6792,0.3428,6
